5.295,4.953
6.3401,6.5344
7.5921,4.6328
2.6058,3.7473
6.518,3.0481
6.1743,5.9973
2.5684,6.715
5.8517,5.1179
2.1042,4.6066
4.8519,5.1091
4.5733,2.3165
5.3368,7.1009
5.442,6.1719
3.0094,4.2734
4.1342,2.8803
2.5444,6.6094
3.3256,2.6054
5.6541,7.4463
5.7047,2.8392
2.6875,3.0892
5.794,7.181
5.0492,6.5936
4.7332,3.0754
4.7786,7.9776
4.8459,2.7336
5.7674,7.0982
5.9504,3.3874
3.6287,6.9647
3.8728,3.5154
3.8224,6.3643
6.5256,4.82
5.0996,7.1777
5.5119,4.1776
7.0697,4.385
2.2748,4.9369
3.7628,3.6325
3.8988,7.6155
3.1498,6.8991
5.0388,3.2734
2.227,6.1036
7.3076,3.6415
4.5199,7.7533
4.6151,4.0397
6.4024,5.1165
6.3899,3.5933
3.7014,4.5472
6.7403,4.537
6.7304,6.8469
2.4628,4.386
6.5943,7.2329
3.7362,2.6538
5.6992,5.5763
6.7407,4.56
3.6338,3.3487
6.5676,6.7282
6.4788,7.4946
6.5004,4.3943
5.3534,6.9265
4.9694,7.9053
7.1174,4.0101
5.2161,7.9859
6.1544,5.2231
4.1979,7.696
3.2874,3.0042
6.8354,6.904
6.7466,5.7997
5.4889,6.5866
3.1959,2.7601
7.6015,3.6249
3.3898,7.4263
2.9997,3.7292
3.9114,4.6269
6.8784,2.8977
4.3891,3.9005
5.3402,4.4993
6.7043,5.8856
3.602,3.7228
3.4436,4.9206
6.1518,7.045
6.273,6.7733
5.3561,3.7108
3.1166,5.9816
3.8846,3.8469
6.2525,3.775
7.5493,3.8643
5.4506,3.9108
3.9729,6.0364
7.0397,5.0183
4.7085,3.6307
6.6636,5.1488
6.6174,3.8735
4.6395,3.3021
6.6511,3.8809
7.737,5.8442
5.4861,5.3226
5.2749,4.7645
2.984,6.6754
6.0351,2.7281
2.4895,4.3899
3.2134,6.9498
2.9017,5.5275
3.8251,6.5449
7.798,5.6562
5.3115,4.9645
4.0177,3.0744
7.2792,4.3
5.237,3.9085
6.4576,5.0346
3.1619,4.0878
5.9353,5.0839
5.2094,4.9589
3.3169,6.6362
6.8253,6.786
6.3939,5.1421
7.7899,3.913
5.3495,4.3228
3.333,7.3106
6.3586,4.628
4.1009,2.2611
6.1501,2.6323
4.5397,7.342
4.816,3.1822
2.9388,5.0492
4.6988,2.4047
2.7823,5.8019
7.7059,4.4169
6.3282,6.8717
6.3508,4.4934
5.9877,7.5415
6.7025,6.1266
3.4969,3.3047
4.868,5.0724
6.6931,4.5087
5.4674,4.5397
3.7129,5.4416
7.5255,4.461
2.4303,4.2853
6.4114,2.5618
4.3414,7.8722
6.1819,6.949
4.0609,6.3484
4.8359,7.3028
2.4005,3.5053
2.6299,6.0008
5.0068,5.0271
3.1589,9.8484
7.7384,9.87
4.0047,9.4597
9.4411,2.7632
2.134,0.1566
4.916,1.6359
2.9176,2.0726
2.5484,2.7595
7.6195,8.6577
0.18092,2.7384
2.2953,1.1583
9.589,7.1107
9.3269,6.2143
6.4319,2.3552
8.2708,1.2767
1.7386,6.1157
2.4529,2.8742
9.6183,7.7765
3.8681,9.8933
9.7148,4.9786
7.1739,9.5175
5.4864,8.5397
8.6479,0.77437
5.4206,8.5928
3.3494,8.9944
8.5404,2.7693
1.7122,1.9077
2.4113,2.9658
9.1882,1.9582
4.6408,8.4172
7.8115,6.0685
1.6381,7.5451
1.7381,8.0384
9.0219,7.9203
9.1785,4.1814
9.7898,1.7091
9.0815,9.2195
3.7741,1.9259
0.11146,8.5377
9.0547,6.3054
4.0197,0.8811
9.1902,6.6001
8.9436,9.6717
9.6797,0.3629
6.1929,0.19742
2.5324,0.94493
8.4349,0.76918
2.5725,8.5557
4.1135,0.80607
8.7871,8.813
7.5713,3.2447
6.8087,0.51542
6.6474,8.0134
4.1357,9.5439
1.0785,0.18853
5.6607,0.56534
5.9559,8.3506
1.1462,5.1596
6.4871,1.8699
0.59297,6.7303
8.1982,7.937
1.6056,9.9323
5.5921,9.6584
4.1253,1.8672
4.1775,8.7003
9.4164,8.3324
3.0448,0.70942
2.1909,9.3404
2.4901,0.59042
1.3501,9.6574
8.3116,0.067681
1.6206,6.8488
8.8049,6.4425
2.2287,2.112
5.6237,8.1213
8.3348,6.4218
2.0139,6.8449
1.0105,2.4924
7.2865,1.4491
1.9042,7.2295
1.139,0.58823
0.21649,6.0741
3.6972,8.0955
2.8248,8.6019
0.8372,4.7222
8.7486,8.352
0.50316,6.4359
4.5935,8.9562
1.2975,2.5264
2.8584,1.3715
2.8412,9.1445
0.77602,4.2519
6.4961,9.8734
5.3427,1.5441
7.588,3.3158
1.5602,6.211
5.6876,1.5988
1.8317,5.1332
